review,rating,date,bank,source,vader_sentiment,bert_sentiment
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,positive,POSITIVE
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,negative,NEGATIVE
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,positive,NEGATIVE
what is this app problem???,1,2025-06-05,CBE,Google Play,negative,NEGATIVE
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,positive,POSITIVE
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,neutral,NEGATIVE
good,4,2025-06-05,CBE,Google Play,positive,POSITIVE
not functional,1,2025-06-05,CBE,Google Play,neutral,NEGATIVE
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,positive,NEGATIVE
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,neutral,NEGATIVE
best,5,2025-06-04,CBE,Google Play,positive,POSITIVE
bezabih,5,2025-06-04,CBE,Google Play,neutral,POSITIVE
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,positive,POSITIVE
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,positive,NEGATIVE
Good,5,2025-06-04,CBE,Google Play,positive,POSITIVE
👌👍,5,2025-06-04,CBE,Google Play,positive,NEGATIVE
very niec,5,2025-06-04,CBE,Google Play,neutral,POSITIVE
best app of finance,5,2025-06-04,CBE,Google Play,positive,POSITIVE
yetemeta,1,2025-06-03,CBE,Google Play,neutral,POSITIVE
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,neutral,NEGATIVE
it is not safety,1,2025-06-03,CBE,Google Play,negative,NEGATIVE
NICE bank,5,2025-06-03,CBE,Google Play,positive,POSITIVE
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,negative,NEGATIVE
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,positive,POSITIVE
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,positive,POSITIVE
best app,5,2025-06-01,CBE,Google Play,positive,POSITIVE
Awesome bank,5,2025-06-01,CBE,Google Play,positive,POSITIVE
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,positive,NEGATIVE
Masha alla,5,2025-05-31,CBE,Google Play,neutral,NEGATIVE
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,negative,NEGATIVE
better service,5,2025-05-31,CBE,Google Play,positive,POSITIVE
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,positive,POSITIVE
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,neutral,NEGATIVE
lower system everything,3,2025-05-30,CBE,Google Play,negative,NEGATIVE
Nice!,5,2025-05-30,CBE,Google Play,positive,POSITIVE
Keep it up My CBE,5,2025-05-29,CBE,Google Play,neutral,POSITIVE
yes good,5,2025-05-28,CBE,Google Play,positive,POSITIVE
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,negative,NEGATIVE
i like everything of this app,5,2025-05-27,CBE,Google Play,positive,POSITIVE
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,neutral,NEGATIVE
Best,5,2025-05-26,CBE,Google Play,positive,POSITIVE
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,positive,POSITIVE
nice,5,2025-05-26,CBE,Google Play,positive,POSITIVE
good job,5,2025-05-26,CBE,Google Play,positive,POSITIVE
it's awesome!!,5,2025-05-25,CBE,Google Play,positive,POSITIVE
thankyou every one,5,2025-05-25,CBE,Google Play,neutral,POSITIVE
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,positive,POSITIVE
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,positive,POSITIVE
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,negative,NEGATIVE
mortuary app,5,2025-05-25,CBE,Google Play,neutral,NEGATIVE
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,positive,NEGATIVE
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,positive,POSITIVE
👍,5,2025-05-24,CBE,Google Play,neutral,NEGATIVE
good app,5,2025-05-24,CBE,Google Play,positive,POSITIVE
i love it 😍😘,5,2025-05-24,CBE,Google Play,positive,POSITIVE
It makes life easy!👌,5,2025-05-24,CBE,Google Play,positive,POSITIVE
its not fast,1,2025-05-24,CBE,Google Play,neutral,NEGATIVE
wow,4,2025-05-24,CBE,Google Play,positive,POSITIVE
it is sooo good,5,2025-05-24,CBE,Google Play,positive,POSITIVE
excellent,5,2025-05-24,CBE,Google Play,positive,POSITIVE
ok,1,2025-05-24,CBE,Google Play,positive,POSITIVE
Fantastic,5,2025-05-23,CBE,Google Play,positive,POSITIVE
accessible to using,5,2025-05-23,CBE,Google Play,neutral,POSITIVE
I like it,4,2025-05-23,CBE,Google Play,positive,POSITIVE
why you change default network?,5,2025-05-23,CBE,Google Play,neutral,NEGATIVE
very nice 👍,5,2025-05-23,CBE,Google Play,positive,POSITIVE
nice fast app,5,2025-05-23,CBE,Google Play,positive,POSITIVE
how to I get my money,5,2025-05-23,CBE,Google Play,neutral,NEGATIVE
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,negative,NEGATIVE
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,positive,POSITIVE
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,neutral,NEGATIVE
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,neutral,NEGATIVE
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,negative,NEGATIVE
hojii bonsaadha,5,2025-05-22,CBE,Google Play,neutral,POSITIVE
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,positive,POSITIVE
Awosome!!!,5,2025-05-22,CBE,Google Play,neutral,POSITIVE
"Very good app,",5,2025-05-22,CBE,Google Play,positive,POSITIVE
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,positive,NEGATIVE
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,positive,POSITIVE
I hate this app 😒,1,2025-05-22,CBE,Google Play,negative,NEGATIVE
trustful,5,2025-05-22,CBE,Google Play,positive,POSITIVE
I like,5,2025-05-22,CBE,Google Play,positive,POSITIVE
update issue,4,2025-05-22,CBE,Google Play,neutral,POSITIVE
its not working over safari network,1,2025-05-22,CBE,Google Play,neutral,NEGATIVE
oldie,1,2025-05-22,CBE,Google Play,neutral,NEGATIVE
it doesn't work,1,2025-05-21,CBE,Google Play,neutral,NEGATIVE
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,positive,POSITIVE
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,positive,POSITIVE
Yes Yes,5,2025-05-21,CBE,Google Play,positive,POSITIVE
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,neutral,NEGATIVE
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,positive,POSITIVE
good 👍,4,2025-05-21,CBE,Google Play,positive,POSITIVE
the best mobile banking app,5,2025-05-21,CBE,Google Play,positive,POSITIVE
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,positive,POSITIVE
it's a good application 👍,5,2025-05-21,CBE,Google Play,positive,POSITIVE
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,negative,NEGATIVE
poor service,1,2025-05-21,CBE,Google Play,negative,NEGATIVE
amazing,5,2025-05-20,CBE,Google Play,positive,POSITIVE
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,positive,POSITIVE
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,negative,NEGATIVE
Cbe mobile banking,5,2025-05-20,CBE,Google Play,neutral,POSITIVE
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,positive,NEGATIVE
Best app I loved it,5,2025-05-19,CBE,Google Play,positive,POSITIVE
nice app,5,2025-05-19,CBE,Google Play,positive,POSITIVE
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,positive,NEGATIVE
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,positive,POSITIVE
very good,4,2025-05-17,CBE,Google Play,positive,POSITIVE
best app.,5,2025-05-17,CBE,Google Play,positive,POSITIVE
"not working,why???",5,2025-05-17,CBE,Google Play,neutral,NEGATIVE
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,positive,NEGATIVE
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,negative,NEGATIVE
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,neutral,NEGATIVE
"Good ,easy to use",5,2025-05-16,CBE,Google Play,positive,POSITIVE
Good app,5,2025-05-15,CBE,Google Play,positive,POSITIVE
Good job👍,5,2025-05-14,CBE,Google Play,positive,POSITIVE
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,positive,POSITIVE
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,positive,NEGATIVE
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,negative,NEGATIVE
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,positive,NEGATIVE
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,positive,POSITIVE
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,neutral,POSITIVE
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,neutral,NEGATIVE
it's easy and fast,5,2025-05-10,CBE,Google Play,positive,POSITIVE
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,negative,NEGATIVE
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,positive,POSITIVE
wow best application ever,5,2025-05-09,CBE,Google Play,positive,POSITIVE
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,negative,NEGATIVE
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,positive,POSITIVE
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,positive,NEGATIVE
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,positive,POSITIVE
amazing apps,5,2025-05-06,CBE,Google Play,positive,POSITIVE
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,neutral,POSITIVE
needs improvement,1,2025-05-06,CBE,Google Play,positive,NEGATIVE
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative,NEGATIVE
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,positive,NEGATIVE
good but these week not oky,4,2025-05-06,CBE,Google Play,positive,NEGATIVE
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,positive,POSITIVE
