review,rating,date,bank,source,vader_sentiment,bert_sentiment
it's not working,3,2025-06-05,BOA,Google Play,neutral,NEGATIVE
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,negative,NEGATIVE
exceptional,5,2025-06-03,BOA,Google Play,neutral,POSITIVE
BoA Mobile good bank,5,2025-06-02,BOA,Google Play,positive,POSITIVE
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,neutral,NEGATIVE
This App is not interest for Android phone Please update it .,1,2025-06-01,BOA,Google Play,neutral,NEGATIVE
BoA system is confartable,5,2025-06-01,BOA,Google Play,neutral,NEGATIVE
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,negative,NEGATIVE
Good service.,3,2025-05-25,BOA,Google Play,positive,POSITIVE
the app crush frequently,1,2025-05-24,BOA,Google Play,negative,NEGATIVE
good,5,2025-05-22,BOA,Google Play,positive,POSITIVE
You guys keeps getting worst,1,2025-05-22,BOA,Google Play,negative,NEGATIVE
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,positive,NEGATIVE
BoA,2,2025-05-20,BOA,Google Play,neutral,NEGATIVE
but not opening on android,4,2025-05-19,BOA,Google Play,neutral,NEGATIVE
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,negative,NEGATIVE
amazing,5,2025-05-18,BOA,Google Play,positive,POSITIVE
excellent app,4,2025-05-16,BOA,Google Play,positive,POSITIVE
excellent,5,2025-05-15,BOA,Google Play,positive,POSITIVE
ሞላዬ ከበደ,5,2025-05-14,BOA,Google Play,neutral,NEGATIVE
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,negative,NEGATIVE
nice,5,2025-05-10,BOA,Google Play,positive,POSITIVE
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,negative,NEGATIVE
Best app,5,2025-05-09,BOA,Google Play,positive,POSITIVE
liking this application good 👍,5,2025-05-07,BOA,Google Play,positive,POSITIVE
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06,BOA,Google Play,negative,NEGATIVE
wow,5,2025-04-28,BOA,Google Play,positive,POSITIVE
it's really good 👍,5,2025-04-23,BOA,Google Play,positive,POSITIVE
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23,BOA,Google Play,negative,NEGATIVE
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,neutral,NEGATIVE
Best,2,2025-04-19,BOA,Google Play,positive,POSITIVE
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19,BOA,Google Play,negative,NEGATIVE
yideg,1,2025-04-18,BOA,Google Play,neutral,NEGATIVE
አይከፍትም እኮ,1,2025-04-17,BOA,Google Play,neutral,NEGATIVE
great boa,5,2025-04-10,BOA,Google Play,positive,POSITIVE
boa of mobile backing,5,2025-04-09,BOA,Google Play,neutral,NEGATIVE
faster bank of Abissinya,5,2025-04-08,BOA,Google Play,neutral,POSITIVE
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,Google Play,negative,NEGATIVE
it just doesn't work...so frustrating,1,2025-04-07,BOA,Google Play,positive,NEGATIVE
like,5,2025-04-06,BOA,Google Play,positive,POSITIVE
it's not work correctly... you must have update it,1,2025-04-06,BOA,Google Play,neutral,NEGATIVE
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,Google Play,positive,POSITIVE
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,Google Play,positive,NEGATIVE
good but they don't update enough don't add new things,3,2025-04-04,BOA,Google Play,positive,NEGATIVE
very good,5,2025-04-03,BOA,Google Play,positive,POSITIVE
thank you,5,2025-04-02,BOA,Google Play,positive,POSITIVE
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,Google Play,neutral,NEGATIVE
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31,BOA,Google Play,neutral,NEGATIVE
good application,5,2025-03-30,BOA,Google Play,positive,POSITIVE
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30,BOA,Google Play,neutral,NEGATIVE
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29,BOA,Google Play,negative,NEGATIVE
always problematic hardly works,1,2025-03-26,BOA,Google Play,negative,NEGATIVE
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,BOA,Google Play,positive,NEGATIVE
best app,5,2025-03-25,BOA,Google Play,positive,POSITIVE
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24,BOA,Google Play,negative,NEGATIVE
great BoA,5,2025-03-22,BOA,Google Play,positive,POSITIVE
best,5,2025-03-21,BOA,Google Play,positive,POSITIVE
