review,rating,date,bank,source,vader_sentiment,bert_sentiment,clean_review,identified_theme
it's not working,3,2025-06-05,BOA,Google Play,neutral,NEGATIVE,work,['Other']
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03,BOA,Google Play,negative,NEGATIVE,"hello , face problem BOA Mobile app . time enter phone number password , app crash show error say "" BoaMobile close app bug . "" try update , reinstall , clear cache , work . fix bug update . need access account . thank .",['Account Access Issues']
exceptional,5,2025-06-03,BOA,Google Play,neutral,POSITIVE,exceptional,['Other']
BoA Mobile good bank,5,2025-06-02,BOA,Google Play,positive,POSITIVE,BoA Mobile good bank,['Other']
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,neutral,NEGATIVE,wor app 24/7 loading,['Other']
This App is not interest for Android phone Please update it .,1,2025-06-01,BOA,Google Play,neutral,NEGATIVE,App interest Android phone update .,['Other']
BoA system is confartable,5,2025-06-01,BOA,Google Play,neutral,NEGATIVE,boa system confartable,['Other']
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27,BOA,Google Play,negative,NEGATIVE,"app , , waste time . work . long , piss . FIX problem",['Other']
Good service.,3,2025-05-25,BOA,Google Play,positive,POSITIVE,good service .,['Customer Support']
the app crush frequently,1,2025-05-24,BOA,Google Play,negative,NEGATIVE,app crush frequently,['Other']
good,5,2025-05-22,BOA,Google Play,positive,POSITIVE,good,['Other']
You guys keeps getting worst,1,2025-05-22,BOA,Google Play,negative,NEGATIVE,guy keep get bad,['Other']
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,positive,NEGATIVE,"app joke . crash work , take forever load , half feature decorative point . log , transfer money , check balance bug . developer : actually try work , kind social experiment test patience ? build sleep ? definitely look like . idea functional app , maybe consider different career path 🙏",['Transaction Performance']
BoA,2,2025-05-20,BOA,Google Play,neutral,NEGATIVE,BoA,['Other']
but not opening on android,4,2025-05-19,BOA,Google Play,neutral,NEGATIVE,open android,['Other']
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,negative,NEGATIVE,Worst App . totally unreliable . work 4 month .,['Other']
amazing,5,2025-05-18,BOA,Google Play,positive,POSITIVE,amazing,['Other']
excellent app,4,2025-05-16,BOA,Google Play,positive,POSITIVE,excellent app,['Other']
excellent,5,2025-05-15,BOA,Google Play,positive,POSITIVE,excellent,['Other']
ሞላዬ ከበደ,5,2025-05-14,BOA,Google Play,neutral,NEGATIVE,ሞላዬ ከበደ,['Other']
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,negative,NEGATIVE,"app work Samsung a51 , give preview logo",['Other']
nice,5,2025-05-10,BOA,Google Play,positive,POSITIVE,nice,['Other']
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,negative,NEGATIVE,"enter incorrect security question mistake boa app lock pin forever , option ? ? ? contact different branch 4times able solve issue .",['Other']
