review,rating,date,bank,source,vader_sentiment,bert_sentiment,clean_review
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,positive,POSITIVE,happy app Siple use
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,negative,NEGATIVE,like app . User interface basic attractive .
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,positive,NEGATIVE,""" atm support account - - account transfer like country ( Kenya , Nigeria , South africa ) """
what is this app problem???,1,2025-06-05,CBE,Google Play,negative,NEGATIVE,app problem ? ? ?
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,positive,POSITIVE,app proactive good connection .
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,neutral,NEGATIVE,send cbebirr app . app .
good,4,2025-06-05,CBE,Google Play,positive,POSITIVE,good
not functional,1,2025-06-05,CBE,Google Play,neutral,NEGATIVE,functional
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,positive,NEGATIVE,"everytime uninstall app reach physically . oldy ! security layer , check fraud attempt app source directly(source:- app store , play store ... etc ) implicitly ! 2025 , physical presence app install traditional(traditionally rare ) ."
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,neutral,NEGATIVE,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል
best,5,2025-06-04,CBE,Google Play,positive,POSITIVE,well
bezabih,5,2025-06-04,CBE,Google Play,neutral,POSITIVE,bezabih
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,positive,POSITIVE,Best Mobile Banking app
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,positive,NEGATIVE,good app issue like not right bank issue transfer
Good,5,2025-06-04,CBE,Google Play,positive,POSITIVE,good
👌👍,5,2025-06-04,CBE,Google Play,positive,NEGATIVE,👌 👍
very niec,5,2025-06-04,CBE,Google Play,neutral,POSITIVE,niec
best app of finance,5,2025-06-04,CBE,Google Play,positive,POSITIVE,good app finance
yetemeta,1,2025-06-03,CBE,Google Play,neutral,POSITIVE,yetemeta
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,neutral,NEGATIVE,Engida Kebede Fetera
it is not safety,1,2025-06-03,CBE,Google Play,negative,NEGATIVE,safety
NICE bank,5,2025-06-03,CBE,Google Play,positive,POSITIVE,NICE bank
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,negative,NEGATIVE,like childish app well bad see
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,positive,POSITIVE,"problem solver application , ahead CBE , love ."
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play,positive,POSITIVE,good try facilitate client
best app,5,2025-06-01,CBE,Google Play,positive,POSITIVE,good app
Awesome bank,5,2025-06-01,CBE,Google Play,positive,POSITIVE,Awesome bank
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,positive,NEGATIVE,app develop good way comment need 1- prevent screenshot likely good like coz need screenshot quick evidence . 2 - good access recent transaction history 30 day coz Bank person old transaction add colander category user easily access old transaction colander .
Masha alla,5,2025-05-31,CBE,Google Play,neutral,NEGATIVE,Masha alla
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,negative,NEGATIVE,"recently big problem send safaricom , telebir , cbebirr wallet anybody responsible fix , frustrating 5 day money return take account send mpesa update- correct send money afraid send"
better service,5,2025-05-31,CBE,Google Play,positive,POSITIVE,well service
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,positive,POSITIVE,", s good app time manager 👍"
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,neutral,NEGATIVE,malkaamuu Jiidhaa Namoo
lower system everything,3,2025-05-30,CBE,Google Play,negative,NEGATIVE,low system
Nice!,5,2025-05-30,CBE,Google Play,positive,POSITIVE,nice !
Keep it up My CBE,5,2025-05-29,CBE,Google Play,neutral,POSITIVE,CBE
yes good,5,2025-05-28,CBE,Google Play,positive,POSITIVE,yes good
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,negative,NEGATIVE,"app year problem . stop work 3 month ago . try transfer fund give error "" transaction . inactive account . """
i like everything of this app,5,2025-05-27,CBE,Google Play,positive,POSITIVE,like app
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,neutral,NEGATIVE,🤬 🤬 🤬 🤬 network 🛜
