review,rating,date,bank,source,vader_sentiment,bert_sentiment,clean_review,identified_theme
really am happy to this app it is Siple to use everything,5,2025-06-07,CBE,Google Play,positive,POSITIVE,happy app Siple use,['Other']
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,negative,NEGATIVE,like app . User interface basic attractive .,['Other']
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play,positive,NEGATIVE,""" atm support account - - account transfer like country ( Kenya , Nigeria , South africa ) ""","['Transaction Performance', 'Customer Support']"
what is this app problem???,1,2025-06-05,CBE,Google Play,negative,NEGATIVE,app problem ? ? ?,['Other']
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,positive,POSITIVE,app proactive good connection .,['Other']
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,neutral,NEGATIVE,send cbebirr app . app .,['Other']
good,4,2025-06-05,CBE,Google Play,positive,POSITIVE,good,['Other']
not functional,1,2025-06-05,CBE,Google Play,neutral,NEGATIVE,functional,['Other']
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,positive,NEGATIVE,"everytime uninstall app reach physically . oldy ! security layer , check fraud attempt app source directly(source:- app store , play store ... etc ) implicitly ! 2025 , physical presence app install traditional(traditionally rare ) .",['Other']
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,neutral,NEGATIVE,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,['Other']
best,5,2025-06-04,CBE,Google Play,positive,POSITIVE,well,['Other']
bezabih,5,2025-06-04,CBE,Google Play,neutral,POSITIVE,bezabih,['Other']
Best Mobile Banking app ever,5,2025-06-04,CBE,Google Play,positive,POSITIVE,Best Mobile Banking app,['Other']
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,positive,NEGATIVE,good app issue like not right bank issue transfer,['Transaction Performance']
Good,5,2025-06-04,CBE,Google Play,positive,POSITIVE,good,['Other']
👌👍,5,2025-06-04,CBE,Google Play,positive,NEGATIVE,👌 👍,['Other']
very niec,5,2025-06-04,CBE,Google Play,neutral,POSITIVE,niec,['Other']
best app of finance,5,2025-06-04,CBE,Google Play,positive,POSITIVE,good app finance,['Other']
yetemeta,1,2025-06-03,CBE,Google Play,neutral,POSITIVE,yetemeta,['Other']
Engida Kebede Fetera,5,2025-06-03,CBE,Google Play,neutral,NEGATIVE,Engida Kebede Fetera,['Other']
it is not safety,1,2025-06-03,CBE,Google Play,negative,NEGATIVE,safety,['Other']
NICE bank,5,2025-06-03,CBE,Google Play,positive,POSITIVE,NICE bank,['Other']
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play,negative,NEGATIVE,like childish app well bad see,['Other']
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play,positive,POSITIVE,"problem solver application , ahead CBE , love .",['Other']
