review,rating,date,bank,source
it's not working,3,2025-06-05 11:57:36,BOA,Google Play
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03 16:21:34,BOA,Google Play
exceptional,5,2025-06-03 10:32:35,BOA,Google Play
BoA Mobile good bank,5,2025-06-02 14:25:12,BOA,Google Play
this is worest app 24/7 loading,1,2025-06-01 15:51:10,BOA,Google Play
This App is not interest for Android phone Please update it .,1,2025-06-01 10:17:10,BOA,Google Play
BoA system is confartable,5,2025-06-01 00:47:32,BOA,Google Play
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27 21:16:27,BOA,Google Play
Good service.,3,2025-05-25 19:14:52,BOA,Google Play
the app crush frequently,1,2025-05-24 12:24:56,BOA,Google Play
good,5,2025-05-22 15:34:58,BOA,Google Play
You guys keeps getting worst,1,2025-05-22 08:57:39,BOA,Google Play
good,5,2025-05-21 19:16:49,BOA,Google Play
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21 13:49:15,BOA,Google Play
BoA,2,2025-05-20 15:21:55,BOA,Google Play
good,5,2025-05-20 10:57:13,BOA,Google Play
but not opening on android,4,2025-05-19 17:19:32,BOA,Google Play
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18 15:36:47,BOA,Google Play
amazing,5,2025-05-18 14:34:19,BOA,Google Play
excellent app,4,2025-05-16 21:34:42,BOA,Google Play
excellent,5,2025-05-15 15:42:43,BOA,Google Play
ሞላዬ ከበደ,5,2025-05-14 15:47:57,BOA,Google Play
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11 19:07:08,BOA,Google Play
nice,5,2025-05-10 18:48:38,BOA,Google Play
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10 12:44:44,BOA,Google Play
Best app,5,2025-05-09 16:12:56,BOA,Google Play
liking this application good 👍,5,2025-05-07 18:34:10,BOA,Google Play
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06 18:06:33,BOA,Google Play
good,5,2025-05-06 17:44:32,BOA,Google Play
good,5,2025-05-02 21:50:25,BOA,Google Play
good,4,2025-04-30 11:23:56,BOA,Google Play
good,4,2025-04-30 10:34:17,BOA,Google Play
wow,5,2025-04-28 17:51:26,BOA,Google Play
it's really good 👍,5,2025-04-23 19:44:14,BOA,Google Play
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23 14:16:20,BOA,Google Play
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20 21:05:21,BOA,Google Play
Best,2,2025-04-19 18:38:02,BOA,Google Play
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19 07:15:54,BOA,Google Play
yideg,1,2025-04-18 00:18:40,BOA,Google Play
አይከፍትም እኮ,1,2025-04-17 10:12:16,BOA,Google Play
great boa,5,2025-04-10 14:33:26,BOA,Google Play
Best,5,2025-04-10 11:53:01,BOA,Google Play
boa of mobile backing,5,2025-04-09 14:32:34,BOA,Google Play
nice,5,2025-04-09 04:01:08,BOA,Google Play
faster bank of Abissinya,5,2025-04-08 16:36:23,BOA,Google Play
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08 10:12:19,BOA,Google Play
it just doesn't work...so frustrating,1,2025-04-07 18:04:17,BOA,Google Play
like,5,2025-04-06 22:17:21,BOA,Google Play
it's not work correctly... you must have update it,1,2025-04-06 11:01:42,BOA,Google Play
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04 22:57:29,BOA,Google Play
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04 12:38:08,BOA,Google Play
good but they don't update enough don't add new things,3,2025-04-04 12:24:06,BOA,Google Play
very good,5,2025-04-03 08:50:56,BOA,Google Play
thank you,5,2025-04-02 03:33:00,BOA,Google Play
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01 00:27:34,BOA,Google Play
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31 23:55:06,BOA,Google Play
good application,5,2025-03-30 21:56:40,BOA,Google Play
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30 15:27:26,BOA,Google Play
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29 14:29:38,BOA,Google Play
always problematic hardly works,1,2025-03-26 13:28:25,BOA,Google Play
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25 18:33:59,BOA,Google Play
best app,5,2025-03-25 13:15:12,BOA,Google Play
very good,5,2025-03-25 12:56:42,BOA,Google Play
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24 17:00:42,BOA,Google Play
great BoA,5,2025-03-22 12:46:56,BOA,Google Play
best,5,2025-03-21 12:32:05,BOA,Google Play
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21 10:49:11,BOA,Google Play
good,5,2025-03-21 06:06:10,BOA,Google Play
good,5,2025-03-19 21:15:38,BOA,Google Play
there is no speed,1,2025-03-19 19:12:01,BOA,Google Play
"For anyone who wants to download it, just don't!!!",1,2025-03-19 16:02:57,BOA,Google Play
wonderful,5,2025-03-19 13:58:10,BOA,Google Play
all worck,5,2025-03-19 12:55:57,BOA,Google Play
Best app,5,2025-03-17 01:23:13,BOA,Google Play
Loved it,5,2025-03-14 17:57:04,BOA,Google Play
Wow,1,2025-03-14 03:37:53,BOA,Google Play
