review,rating,date,bank,source
I like this mobile banking app very much. Overall user interface and navigation is awesome. But it lacks instant response when someone deposit or withdraw money.,2,2025-06-07 10:40:29,DASHEN,Google Play
love,3,2025-06-06 00:15:44,DASHEN,Google Play
መቸሸጠ,5,2025-06-03 19:40:31,DASHEN,Google Play
wow,5,2025-06-03 17:30:11,DASHEN,Google Play
gadaa,5,2025-06-01 17:10:53,DASHEN,Google Play
Massive upgrade from the Amole app.,5,2025-05-31 23:04:04,DASHEN,Google Play
good,4,2025-05-31 22:39:35,DASHEN,Google Play
very good for this app,5,2025-05-31 21:03:18,DASHEN,Google Play
top,5,2025-05-31 20:25:21,DASHEN,Google Play
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31 12:24:07,DASHEN,Google Play
Wow,5,2025-05-30 11:16:47,DASHEN,Google Play
good,5,2025-05-30 11:13:17,DASHEN,Google Play
wow to it saff and this app,5,2025-05-30 10:11:47,DASHEN,Google Play
it too slow,3,2025-05-29 13:26:30,DASHEN,Google Play
ዳሽን ባንክ ይለያል,4,2025-05-28 19:34:49,DASHEN,Google Play
real life changer,5,2025-05-28 12:01:56,DASHEN,Google Play
👍👍👍,5,2025-05-28 11:47:32,DASHEN,Google Play
good,5,2025-05-28 11:35:42,DASHEN,Google Play
nice application,5,2025-05-27 14:31:31,DASHEN,Google Play
good,5,2025-05-27 11:24:34,DASHEN,Google Play
wow,5,2025-05-27 10:54:43,DASHEN,Google Play
useless app ever loading take long,1,2025-05-27 09:19:32,DASHEN,Google Play
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26 19:16:29,DASHEN,Google Play
very useful App,1,2025-05-26 13:10:58,DASHEN,Google Play
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26 08:21:54,DASHEN,Google Play
Wawww,5,2025-05-24 16:55:43,DASHEN,Google Play
it is good but some times says duplicate transaction why?,5,2025-05-24 08:07:56,DASHEN,Google Play
very Nice,5,2025-05-23 12:09:24,DASHEN,Google Play
its best,5,2025-05-23 03:53:15,DASHEN,Google Play
it is not as good as to the other mobile bank app.,1,2025-05-22 19:35:38,DASHEN,Google Play
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22 09:42:22,DASHEN,Google Play
wow,5,2025-05-20 14:32:56,DASHEN,Google Play
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20 13:22:54,DASHEN,Google Play
good,5,2025-05-20 09:42:35,DASHEN,Google Play
its best,5,2025-05-19 09:00:24,DASHEN,Google Play
The best app ever in finance sector,5,2025-05-18 22:01:50,DASHEN,Google Play
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18 13:32:58,DASHEN,Google Play
dashen bank or dashen super app?,1,2025-05-17 16:44:29,DASHEN,Google Play
wowwwe app,5,2025-05-17 11:30:07,DASHEN,Google Play
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17 11:03:32,DASHEN,Google Play
